,class_id,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,price_level,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track,predict_sale_quantity
43033,270690,98,2,3,3,1,5,MT,1.5,L,5WL,2,1,1,3,1,1,82,4,146.5,4415,1685,1850,1825,1256,5,2720,1420,1440,55.712893
44437,905061,783,2,3,1,1,6,MT,1.5,T,5-8W,1,1,1,1,2,1,115,4,225,4810,1795,1730,1980,1490,7,2760,1535,1530,55.98426827
75505,437598,638,2,1,1,1,6,MT,1.5,T,10-15W,1,1,1,1,2,1,110,4,210,4549,1835,1700,2140,1600,5,2720,1565,1565,56.83568583
83783,206765,761,3,2,1,2,6,MT,1.5,L,10-15W,1,1,1,1,2,1,84,4,146,4718,1802,1466,1710,1260,5,2700,1540,1558,58.92408169
83784,206765,761,3,2,1,2,6,MT,1.5,L,15-20W,1,1,1,1,2,1,84,4,146,4718,1802,1466,1710,1260,5,2700,1540,1558,59.01996313
44419,750340,864,2,1,1,1,6,MT,1.5,T,10-15W,1,1,1,1,2,1,115,4,215,4530,1900,1700,1860,1485,5,2700,1601,1602,60.07439607
37350,198427,12,3,2,1,1,5,MT,1.5,L,5-8W,1,1,1,1,2,1,80,4,140,4547,1734,1470,1620,1210,5,2600,1490,1470,61.1269523
75656,516750,98,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,1,1,1,82,4,146.5,4530,1721,1730,1850,1319,5,2720,1430,1450,62.96435963
31357,621073,98,2,3,3,1,5,MT,1.5,L,5WL,2,1,1,3,1,1,82,4,146.5,4400,1680,1750,1825,1245,5,2720,1420,1440,65.53405739
83356,248352,831,3,2,3,3,5,MT,1.4,L,5-8W,1,1,1,3,2,1,78.7,4,135,4370,1700,1460,1460,1039,5,2570,1511,1515,67.08910157
83561,302513,864,2,1,3,1,5,MT,1.5,L,5-8W,1,1,1,1,2,1,88,4,143,4354,1840,1654,1670,1285,5,2610,1585,1586,69.69997025
3475,612523,783,2,1,1,1,6,MT,1.5,T,8-10W,1,1,1,1,2,1,115,4,225,4500,1855,1690,1835,1460,5,2650,1590,1595,70.24043592
60184,739296,290,2,3,3,7,6,MT,1.5,T,5-8W,1,1,1,1,2,1,110,4,230,4780,1820,1730,1955,1500,7,2750,1546,1541,70.64067599
6248,349023,450,3,2,1,2,6,MT,1.5,L,10-15W,1,1,1,1,2,1,84,4,146,4666,1807,1460,1670,1240,5,2700,1541,1561,71.3771928
75141,978089,12,2,2,1,1,5,MT,1.5,L,5-8W,1,1,1,1,2,1,80,4,140,4425,1789,1470,1611,1236,5,2650,1502,1492,73.7188277
83544,169673,682,2,1,2,1,6,MT,1.5,T,5-8W,1,1,1,1,2,1,110,4,215,4715,1830,1780,2095,1570,7,2760,1547,1550,74.02082134
83359,248352,831,3,2,3,3,6,MT,1.4,L,8-10W,1,1,1,1,2,1,73.3,4,132.4,4400,1740,1460,1500,1072,5,2600,1524,1529,82.70490015
83355,248352,831,3,2,3,3,5,MT,1.4,L,8-10W,1,1,1,1,2,1,78.7,4,135,4370,1700,1460,1460,1039,5,2570,1511,1515,82.78002689
68787,219195,638,2,1,3,1,6,MT,1.5,T,8-10W,1,1,1,1,2,1,110,4,210,4335,1814,1695,1910,1495,5,2560,1525,1520,87.43865619
68786,219195,638,2,1,3,1,6,MT,1.5,T,10-15W,1,1,1,1,2,1,110,4,210,4335,1814,1695,1910,1495,5,2560,1525,1520,91.36603709
83354,248352,831,3,2,3,3,5,MT,1.4,L,5-8W,1,1,1,1,2,1,78.7,4,135,4370,1700,1460,1460,1039,5,2570,1511,1515,91.36622808
64536,692703,807,2,1,1,1,5,MT,1.5,T,10-15W,1,1,1,1,2,1,112,4,235,4510,1852,1677,1900,1465,5,2650,1575,1570,94.54420877
54962,914348,750,2,2,3,4,5,MT,1.4,L,10-15W,1,1,1,1,2,1,66,4,132,3970,1682,1462,1540,1060,5,2470,1463,1456,95.79371898
31360,621073,98,2,3,3,1,5,MT,1.5,L,5WL,2,1,1,3,1,1,82,4,146.5,4400,1680,1770,1825,1305,5,2720,1420,1440,96.22196239
67377,687270,290,2,3,3,7,6,MT,1.5,L,5-8W,1,1,1,1,2,1,82,4,146.5,4620,1710,1535,1700,1210,5,2750,1482,1488,97.21399991
77172,124140,783,2,1,1,1,6,MT,1.5,T,10-15W,1,1,1,1,2,1,125,4,230,4650,1850,1695,2040,1626,5,2700,1565,1565,100.9561993
54964,914348,750,2,2,3,4,5,MT,1.4,L,5-8W,1,1,1,1,2,1,66,4,132,3970,1682,1462,1540,1060,5,2470,1463,1456,103.9061719
21011,725137,807,2,1,3,1,5,MT,1.5,L,10-15W,1,1,1,1,2,1,84,4,150,4350,1825,1655,1780,1315,5,2560,1554,1550,104.2456229
12,948936,512,2,1,1,1,5,MT,1.5,L,5-8W,2,1,1,1,2,1,83,4,150,4520,1790,1750,1960,1435,5,2700,1450,1480,106.7468825
6237,349023,450,3,2,1,2,5,MT,1.5,L,10-15W,1,1,1,1,2,1,80,4,141,4643,1797,1477,1738,1320,5,2685,1544,1565,116.0069746
44241,392593,497,2,1,1,1,6,MT,1.5,T,10-15W,1,1,1,1,2,1,112,4,205,4470,1837,1670,1765,1390,5,2670,1550,1550,127.6009799
35108,348641,498,3,2,1,1,5,MT,1.5,L,8-10W,1,1,1,1,2,1,80,4,135,4579,1804,1490,1610,1235,5,2660,1548,1549,128.5891188
64535,692703,807,2,1,1,1,5,MT,1.3,T,10-15W,1,1,1,1,2,1,101,4,202,4510,1852,1677,1900,1450,5,2650,1575,1570,130.4357785
6480,950264,498,2,1,1,1,6,MT,1.5,T,15-20W,1,1,1,1,2,1,124,4,250,4545,1855,1690,1843,1468,5,2700,1574,1593,133.351619
45265,890189,290,2,1,3,7,6,MT,1.5,L,5-8W,1,1,1,1,2,1,82,4,146.5,4220,1740,1615,1550,1206,5,2550,1490,1496,143.0121356
26612,409854,638,2,1,1,1,6,MT,1.5,T,10-15W,1,1,1,1,2,1,110,4,210,4681,1827,1710,2059,1560,5,2680,1565,1565,149.5292146
76890,743957,450,3,2,1,2,5,MT,1.5,L,10-15W,1,1,1,1,2,1,80,4,141,4544,1779,1467,1620,1185,5,2600,1538,1539,168.9486149
3447,736094,783,2,3,3,1,5,MT,1.5,L,5-8W,1,1,1,1,2,1,84,4,148,4465,1725,1685,1850,1325,5,2680,1460,1470,179.3725738
75136,978089,12,3,2,1,1,5,MT,1.5,L,5-8W,1,1,1,1,2,1,80,4,140,4631,1789,1470,1625,1250,5,2650,1502,1492,193.3302112
60205,739296,290,2,3,3,7,6,MT,1.5,T,8-10W,1,1,1,1,2,1,110,4,230,4710,1785,1745,1955,1460,7,2750,1530,1525,196.414704
23097,560265,923,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,1,1,1,85,4,150,4440,1700,1783,1790,1270,5,2790,1420,1440,196.913314
67375,687270,290,2,2,1,7,6,MT,1.5,L,5-8W,1,1,1,1,2,1,82,4,146.5,4620,1710,1535,1700,1210,5,2750,1482,1488,198.666982
26620,409854,638,2,1,1,1,6,MT,1.5,T,10-15W,1,1,1,1,2,1,110,4,210,4640,1825,1745,2051,1541,5,2680,1565,1565,204.5637036
36998,265980,783,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,1,1,1,78,4,135,4360,1685,1820,1925,1325,5,2750,1425,1435,234.3701329
36999,265980,783,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,1,1,1,78,4,135,4360,1685,1820,1925,1325,5,2750,1425,1435,234.3701329
60186,739296,290,2,3,3,7,6,MT,1.5,T,5-8W,1,1,1,1,2,1,110,4,230,4710,1785,1745,1955,1460,7,2750,1530,1525,242.2003984
26622,409854,638,2,1,1,1,6,MT,1.5,T,10-15W,1,1,1,1,2,1,110,4,210,4649,1852,1710,2059,1560,5,2680,1565,1565,270.2456318
3448,736094,783,2,3,3,1,5,MT,1.5,L,5-8W,1,1,1,1,2,1,84,4,148,4465,1725,1685,1820,1295,5,2680,1460,1470,274.693051
80795,924154,637,3,2,1,2,5,MT,1.5,L,10-15W,1,1,1,1,2,1,85,4,142,4587,1825,1490,1630,1255,5,2687,1562,1548,275.1640614
13584,378356,497,3,2,1,1,5,MT,1.5,L,5-8W,1,1,1,1,2,1,85,4,141,4572,1825,1482,1640,1265,5,2670,1556,1542,295.0940037
13582,378356,497,3,2,1,1,5,MT,1.5,L,8-10W,1,1,1,1,2,1,85,4,141,4572,1825,1482,1640,1265,5,2670,1556,1542,320.6354102
31352,621073,98,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,1,1,1,82,4,146.5,4400,1680,1750,1825,1245,5,2720,1420,1440,376.6802908
31342,621073,98,2,3,3,1,5,MT,1.5,L,5WL,2,1,1,1,1,1,82,4,146.5,4400,1680,1750,1825,1245,5,2720,1420,1440,393.6938009
84110,654134,290,2,1,1,7,6,MT,1.5,T,8-10W,1,1,1,1,2,1,110,4,230,4620,1820,1750,1850,1435,5,2750,1554,1549,402.3235686
55957,735971,761,3,2,1,2,5,MT,1.5,L,10-15W,1,1,1,1,2,1,81,4,143,4587,1798,1463,1660,1225,5,2640,1538,1541,487.6095219
45263,890189,290,2,1,3,7,6,MT,1.5,L,5-8W,1,1,1,1,2,1,82,4,146.5,4220,1740,1625,1580,1206,5,2550,1490,1496,634.5653099
31354,621073,98,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,1,1,1,82,4,146.5,4400,1680,1770,1825,1305,5,2720,1420,1440,655.4585185
60182,739296,290,2,3,3,7,5,MT,1.5,L,5-8W,1,1,1,1,2,1,82,4,146.5,4710,1785,1715,1920,1435,7,2750,1530,1525,743.4017257
43025,270690,98,2,3,3,1,5,MT,1.5,L,5WL,2,1,1,1,1,1,82,4,146.5,4415,1685,1850,1825,1256,5,2720,1420,1440,791.6035267
31341,621073,98,2,3,3,1,5,MT,1.5,L,5WL,2,1,1,1,1,1,82,4,146.5,4400,1680,1770,1825,1305,5,2720,1420,1440,958.196384
